,id_batiment,nb_maisons,infra_id,infra_type,longueur,difficulty_infra
0,E000001,4,P007111,infra_intacte,12.3144613356693,
1,E000001,4,P007983,infra_intacte,40.3209288665353,
2,E000001,4,P000308,infra_intacte,39.1407985664577,
3,E000001,4,P007819,infra_intacte,17.3904643240185,
4,E000002,1,P007111,infra_intacte,12.3144613356693,
5,E000002,1,P007983,infra_intacte,40.3209288665353,
6,E000002,1,P000308,infra_intacte,39.1407985664577,
7,E000002,1,P007240,infra_intacte,10.9146257880949,
8,E000003,1,P007111,infra_intacte,12.3144613356693,
9,E000003,1,P007113,a_remplacer,12.1935087083631,12.1935087083631
10,E000003,1,P007984,a_remplacer,30.0575979492587,30.0575979492587
11,E000003,1,P007823,a_remplacer,12.290282829583,12.290282829583
12,E000004,1,P007111,infra_intacte,12.3144613356693,
13,E000004,1,P007983,infra_intacte,40.3209288665353,
14,E000004,1,P000308,infra_intacte,39.1407985664577,
15,E000004,1,P000378,infra_intacte,27.4818057324541,
16,E000004,1,P007393,infra_intacte,10.6355248457681,
17,E000005,1,P007111,infra_intacte,12.3144613356693,
18,E000005,1,P007983,infra_intacte,40.3209288665353,
19,E000005,1,P000308,infra_intacte,39.1407985664577,
20,E000005,1,P000378,infra_intacte,27.4818057324541,
21,E000005,1,P007249,infra_intacte,14.6437823794193,
22,E000006,1,P007111,infra_intacte,12.3144613356693,
23,E000006,1,P007983,infra_intacte,40.3209288665353,
24,E000006,1,P000308,infra_intacte,39.1407985664577,
25,E000006,1,P007173,infra_intacte,8.70234350887561,
26,E000007,1,P007111,infra_intacte,12.3144613356693,
27,E000007,1,P007982,infra_intacte,49.956115228201,
28,E000007,1,P000181,infra_intacte,6.18934271279126,
29,E000007,1,P007132,infra_intacte,6.38798150462252,
30,E000008,1,P007111,infra_intacte,12.3144613356693,
31,E000008,1,P007982,infra_intacte,49.956115228201,
32,E000008,1,P000352,infra_intacte,3.33298661989259,
33,E000008,1,P007320,infra_intacte,5.49514798849418,
34,E000009,1,P007111,infra_intacte,12.3144613356693,
35,E000009,1,P007982,infra_intacte,49.956115228201,
36,E000009,1,P000352,infra_intacte,3.33298661989259,
37,E000009,1,P007286,infra_intacte,7.27509782129326,
38,E000010,1,P007111,infra_intacte,12.3144613356693,
39,E000010,1,P007982,infra_intacte,49.956115228201,
40,E000010,1,P000352,infra_intacte,3.33298661989259,
41,E000010,1,P007115,infra_intacte,10.5939670191223,
42,E000011,1,P007111,infra_intacte,12.3144613356693,
43,E000011,1,P007982,infra_intacte,49.956115228201,
44,E000011,1,P000352,infra_intacte,3.33298661989259,
45,E000011,1,P007321,infra_intacte,12.8143378133663,
46,E000012,1,P007111,infra_intacte,12.3144613356693,
47,E000012,1,P007982,infra_intacte,49.956115228201,
48,E000012,1,P000241,infra_intacte,75.9819951693543,
49,E000012,1,P007150,infra_intacte,8.33214989007513,
50,E000013,1,P007111,infra_intacte,12.3144613356693,
51,E000013,1,P007982,infra_intacte,49.956115228201,
52,E000013,1,P000241,infra_intacte,75.9819951693543,
53,E000013,1,P007151,infra_intacte,10.0290766801889,
54,E000014,1,P007111,infra_intacte,12.3144613356693,
55,E000014,1,P007982,infra_intacte,49.956115228201,
56,E000014,1,P000241,infra_intacte,75.9819951693543,
57,E000014,1,P007397,infra_intacte,11.6968926113381,
58,E000015,1,P007111,infra_intacte,12.3144613356693,
59,E000015,1,P007983,infra_intacte,40.3209288665353,
60,E000015,1,P000160,infra_intacte,44.6252544771484,
61,E000015,1,P000348,infra_intacte,9.12960147203556,
62,E000015,1,P000020,infra_intacte,51.3121054948589,
63,E000015,1,P007255,infra_intacte,12.4716405643877,
64,E000016,1,P007111,infra_intacte,12.3144613356693,
65,E000016,1,P007983,infra_intacte,40.3209288665353,
66,E000016,1,P000160,infra_intacte,44.6252544771484,
67,E000016,1,P000348,infra_intacte,9.12960147203556,
68,E000016,1,P000020,infra_intacte,51.3121054948589,
69,E000016,1,P007333,infra_intacte,10.3639351214682,
70,E000017,1,P007111,infra_intacte,12.3144613356693,
